发表日期	产品名	抓取来源	是否天猫超市	是否天猫	原文地址	店名	内容	标题	内容_维度	内容_属性	内容_情感	内容_正负面
2016/7/27 14:47	绅士牌-花生	淘宝网			http://item.taobao.com/item.htm?id=18049676749	进口生活馆08	好评！	美国原装进口 PLANTERS 紳士牌 粗粒花生醬 340G				
2016/7/27 14:58	绅士牌-花生	京东商城			http://club.jd.com/repay/3260392_2be07ab5-4548-489f-ae7b-4afe83726418_1.html		好吃又划算！以后继续帮衬！绝对要支持。以前特别中意去进口零食铺买噶。	美国进口 绅士牌（planters) 美式盐焗鸡尾花生184g	价格感知|产品|品牌|品牌	价格|味道|回头率|回头率	划算|好吃|支持|继续	正面|正面|正面|正面
2016/7/27 15:00	绅士牌-组合	京东商城			http://club.jd.com/repay/3260364_437e24cf-aaa9-48c7-8d50-ef56f13e1e1c_1.html		之前都是在进口零食店买这个品牌的坚果，价格贵而且日期有时不那么新鲜，终于等到它在中国官方上市了。京东的物流就是快，以后想买P家的东西就太方便了，希望多搞些活动。	美国进口 绅士牌（planters) 精选大罐混合坚果（腰果、巴旦木、碧根果、巴西果、榛子）963g	价格感知|品牌|服务|安全性|价格感知|服务	价格|知名度|物流|货期|促销活动|物流	贵|NULL|方便|新鲜|活动|快	负面|中性|正面|正面|正面|正面
2016/7/27 15:05	绅士牌-花生	京东商城			http://club.jd.com/repay/3260392_d5e0cedd-fa3c-42ab-8585-8d5ddb108569_1.html		美国绅士坚果，美国原装进口。粒粒饱满，好吃。秒杀成功	美国进口 绅士牌（planters) 美式盐焗鸡尾花生184g	安全性|产品|价格感知|产品	货源|味道|促销活动|果实	原装|好吃|秒杀|饱满	正面|正面|正面|正面
2016/7/27 15:12	绅士牌-花生	京东商城			http://club.jd.com/repay/3260392_e409d9b1-4ae6-47a6-b07c-41fa53ca4476_1.html		一元抢购的 超实惠 送货也很快 期待出更多的新口味	美国进口 绅士牌（planters) 美式盐焗鸡尾花生184g	价格感知|产品|价格感知|服务	促销活动|味道|价格|物流	一元|新|超实惠|很快	正面|正面|正面|正面
2016/7/27 15:22	绅士牌-花生	京东商城			http://club.jd.com/repay/3260392_94a464a4-fe89-40e4-9cb4-4b864cf63947_1.html		无壳花生，颗颗饱满，粒粒酥脆，高档铁罐密封包装，非常喜欢的坚果零食，好评！	美国进口 绅士牌（planters) 美式盐焗鸡尾花生184g	产品|产品|外包装|产品	喜好度|口感|包装|果实	喜欢|酥脆|高档|饱满	正面|正面|正面|正面
2016/7/27 15:32	绅士牌-腰果	淘宝网			http://item.taobao.com/item.htm?id=522585771435	哈里美汇halimeihui	好评！	美国进口绅士牌Planters  半腰果 果仁 226g 进口零食 灌装				
2016/7/27 15:32	绅士牌-花生	淘宝网			http://item.taobao.com/item.htm?id=522198615064	哈里美汇halimeihui	好评！	国外零食/Planters绅士花生 蜂蜜烤花生340g 小吃 坚果 进口零食				
2016/7/27 15:37	绅士牌-花生	京东商城			http://club.jd.com/repay/3260372_31115ec3-9682-4219-a938-b3be2357fe8d_1.html		快递很快，第二天就到了，口味不错，值得购买。	美国进口 绅士牌（planters) 美式海盐焦糖花生170g	价格感知|产品|服务|服务	价格|味道|物流|物流	值得购买|不错|很快|第二天就到	正面|正面|正面|正面
2016/7/27 15:38	绅士牌-组合	京东商城			http://club.jd.com/repay/2976607_58c6c635-78d2-4d5d-a1a0-881da73832bf_1.html		快递很快，第二天就到了，口味不错，值得购买。	美国进口 绅士牌（planters) 混合坚果·（腰果，巴旦木，碧根果）233g	价格感知|产品|服务|服务	价格|味道|物流|物流	值得购买|不错|很快|第二天就到	正面|正面|正面|正面
